
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
334.8   	-80.87  
335.2   	-80.88  
335.6   	-80.89  
336     	-80.87  
336.4   	-80.71  
336.8   	-80.17  
337.2   	-78.64  
337.6   	-72.85  
338     	-50.63  
338.4   	36.06   
338.8   	40.45   
339.2   	26.09   
339.6   	8.45    
340     	-9.295  
340.4   	-27.57  
340.8   	-46.2   
341.2   	-60.69  
341.6   	-69.28  
342     	-74.07  
342.4   	-76.76  
342.8   	-78.33  
343.2   	-79.28  
343.6   	-79.89  
344     	-80.29  
344.4   	-80.56  
344.8   	-80.75  
345.2   	-80.88  
345.6   	-80.97  
346     	-81.03  
346.4   	-81.07  
346.8   	-81.1   
347.2   	-81.13  
347.6   	-81.14  
348     	-81.16  
348.4   	-81.17  
348.8   	-81.18  
349.2   	-81.18  
349.6   	-81.18  
350     	-81.18  
350.4   	-81.17  
350.8   	-81.15  
351.2   	-81.14  
351.6   	-81.11  
352     	-81.08  
352.4   	-81.04  
352.8   	-80.99  
353.2   	-80.94  
353.6   	-80.88  
354     	-80.82  
354.4   	-80.77  
354.8   	-80.72  
355.2   	-80.67  
355.6   	-80.62  
356     	-80.57  
356.4   	-80.53  
356.8   	-80.5   
357.2   	-80.47  
357.6   	-80.44  
358     	-80.42  
358.4   	-80.4   
358.8   	-80.39  
359.2   	-80.38  
359.6   	-80.38  
360     	-80.38  
360.4   	-80.38  
360.8   	-80.37  
361.2   	-80.37  
361.6   	-80.36  
362     	-80.36  
362.4   	-80.36  
362.8   	-80.36  
363.2   	-80.37  
363.6   	-80.38  
364     	-80.39  
364.4   	-80.4   
364.8   	-80.41  
365.2   	-80.42  
365.6   	-80.43  
366     	-80.45  
366.4   	-80.46  
366.8   	-80.47  
367.2   	-80.49  
367.6   	-80.51  
368     	-80.53  
368.4   	-80.55  
368.8   	-80.57  
369.2   	-80.59  
369.6   	-80.61  
370     	-80.63  
370.4   	-80.66  
370.8   	-80.68  
371.2   	-80.71  
371.6   	-80.73  
372     	-80.76  
372.4   	-80.79  
372.8   	-80.81  
373.2   	-80.83  
373.6   	-80.86  
374     	-80.88  
374.4   	-80.9   
374.8   	-80.93  
375.2   	-80.94  
375.6   	-80.96  
376     	-80.97  
376.4   	-80.97  
376.8   	-80.97  
377.2   	-80.97  
377.6   	-80.94  
378     	-80.82  
378.4   	-80.38  
378.8   	-79.18  
379.2   	-74.81  
379.6   	-57.86  
380     	18.5    
380.4   	42.38   
380.8   	29.52   
381.2   	12.22   
381.6   	-5.605  
382     	-23.59  
382.4   	-42.45  
382.8   	-58.16  
383.2   	-67.85  
383.6   	-73.27  
384     	-76.3   
